ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
4469,No,No,No,3,349,3,Human Resource Management,Landing Page Submission
4470,No,No,No,2,67,2,,API
4471,No,No,No,0,0,0,,API
4472,No,Yes,No,28,81,3.5,Retail Management,Landing Page Submission
4473,Yes,No,No,9,1324,3,Human Resource Management,Landing Page Submission
4474,Yes,No,No,2,1004,2,Finance Management,Landing Page Submission
4475,No,Yes,No,2,104,2,,API
4476,No,No,No,3,101,1.5,,API
4477,No,No,No,4,331,1.33,,API
4478,Yes,No,No,5,36,5,Finance Management,Landing Page Submission
4479,Yes,No,No,2,1129,1,,API
4480,No,No,No,4,11,4,Finance Management,Landing Page Submission
4481,Yes,No,No,,1620,,,Lead Add Form
4482,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
4483,Yes,No,No,3,8,1.5,,API
4484,No,No,No,4,1239,4,Finance Management,Landing Page Submission
4485,No,No,No,5,218,5,Finance Management,Landing Page Submission
4486,Yes,No,No,7,1284,3.5,Human Resource Management,Landing Page Submission
4487,No,No,No,3,1022,3,Human Resource Management,Landing Page Submission
4488,Yes,No,No,5,1229,2.5,,API
4489,Yes,No,No,10,1398,2.5,Human Resource Management,API
4490,Yes,No,No,4,952,4,Operations Management,Landing Page Submission
4491,No,No,No,0,0,0,,API
4492,No,No,No,0,0,0,,API
4493,No,No,No,1,198,1,,API
4494,No,No,No,0,0,0,,API
4495,Yes,No,No,2,476,1,,API
4496,No,No,No,4,144,4,Finance Management,Landing Page Submission
4497,Yes,No,No,2,1226,2,,API
4498,Yes,No,No,10,900,5,IT Projects Management,Landing Page Submission
4499,Yes,No,No,4,1609,4,Operations Management,Landing Page Submission
4500,No,No,No,0,0,0,,API
4501,No,No,No,0,0,0,,API
4502,No,No,No,4,9,4,Finance Management,Landing Page Submission
4503,No,No,No,0,0,0,,API
4504,No,No,No,0,0,0,,API
4505,Yes,No,No,5,1063,2.5,Finance Management,Landing Page Submission
4506,Yes,No,No,4,1416,4,Human Resource Management,Landing Page Submission
4507,No,No,No,3,1385,3,Finance Management,Landing Page Submission
4508,No,No,No,4,337,4,,Landing Page Submission
4509,Yes,No,No,4,1544,4,Operations Management,Landing Page Submission
4510,No,Yes,No,5,608,5,Supply Chain Management,Landing Page Submission
4511,No,No,No,7,250,1.4,Healthcare Management,Landing Page Submission
4512,No,No,No,8,283,8,Healthcare Management,Landing Page Submission
4513,Yes,No,No,0,0,0,,API
4514,No,No,No,0,0,0,,API
4515,No,No,No,4,287,4,Human Resource Management,Landing Page Submission
4516,No,No,No,3,389,3,Marketing Management,Landing Page Submission
4517,No,No,No,4,205,4,Business Administration,Landing Page Submission
4518,No,No,No,0,0,0,,API
4519,No,Yes,No,15,978,15,E-COMMERCE,Landing Page Submission
4520,No,Yes,No,0,0,0,,API
4521,Yes,No,No,0,0,0,,API
4522,No,No,No,3,382,3,,API
4523,No,No,No,2,80,2,E-COMMERCE,Landing Page Submission
4524,Yes,No,No,2,1495,2,Human Resource Management,Landing Page Submission
4525,No,No,No,9,62,2.25,Human Resource Management,Landing Page Submission
4526,Yes,No,No,4,1701,4,Marketing Management,Landing Page Submission
4527,No,No,No,6,142,3,"Banking, Investment And Insurance",Landing Page Submission
4528,No,No,No,3,26,3,,API
4529,Yes,No,No,2,1659,2,IT Projects Management,Landing Page Submission
4530,No,No,No,4,419,1.33,Marketing Management,Landing Page Submission
4531,No,No,No,4,48,4,Operations Management,Landing Page Submission
4532,Yes,No,No,8,1036,4,Human Resource Management,API
4533,Yes,No,No,3,1637,3,"Banking, Investment And Insurance",Landing Page Submission
4534,No,No,No,2,1014,2,Finance Management,Landing Page Submission
4535,No,No,No,4,952,4,Business Administration,Landing Page Submission
4536,Yes,No,No,2,665,2,Marketing Management,Landing Page Submission
4537,No,No,No,18,13,3,Human Resource Management,Landing Page Submission
4538,Yes,No,No,4,1081,4,Finance Management,Landing Page Submission
4539,No,Yes,No,3,152,1.5,IT Projects Management,Landing Page Submission
4540,Yes,No,No,0,0,0,,API
4541,Yes,No,No,3,1490,3,,API
4542,No,No,No,4,930,4,Business Administration,Landing Page Submission
4543,No,No,No,6,168,6,IT Projects Management,Landing Page Submission
4544,Yes,No,No,4,429,4,Supply Chain Management,Landing Page Submission
4545,No,No,No,14,171,7,Travel and Tourism,Landing Page Submission
4546,No,Yes,No,16,247,1.45,"Banking, Investment And Insurance",Landing Page Submission
4547,Yes,No,No,5,1298,2.5,Human Resource Management,Landing Page Submission
4548,Yes,No,No,0,0,0,,API
4549,Yes,No,No,5,1540,2.5,Marketing Management,Landing Page Submission
4550,Yes,No,No,6,1027,3,Marketing Management,Landing Page Submission
4551,Yes,No,No,0,0,0,Marketing Management,API
4552,Yes,No,No,5,1220,2.5,Finance Management,Landing Page Submission
4553,No,No,No,0,0,0,,API
4554,No,No,No,0,0,0,,API
4555,No,No,No,10,1246,5,Marketing Management,Landing Page Submission
4556,Yes,No,No,4,1225,4,Marketing Management,Landing Page Submission
4557,Yes,No,No,3,1270,3,Media and Advertising,Landing Page Submission
4558,No,No,No,0,0,0,,API
4559,No,No,No,3,35,3,Marketing Management,Landing Page Submission
4560,Yes,No,No,4,874,4,Rural and Agribusiness,Landing Page Submission
4561,No,No,No,0,0,0,,Lead Add Form
4562,No,No,No,0,0,0,Human Resource Management,Lead Add Form
4563,No,No,No,0,0,0,,API
4564,No,No,No,8,68,8,Human Resource Management,Landing Page Submission
4565,Yes,No,No,2,848,1,,API
4566,No,No,No,3,502,1.5,,API
4567,No,No,No,6,748,2,Supply Chain Management,Landing Page Submission
4568,No,No,No,0,0,0,,API
4569,Yes,No,No,0,0,0,,Lead Add Form
4570,Yes,No,No,0,0,0,,Lead Add Form
4571,No,Yes,No,3,263,3,Operations Management,Landing Page Submission
4572,No,No,No,0,0,0,,API
4573,No,No,No,1,649,1,,API
4574,Yes,No,No,7,1549,7,Human Resource Management,Landing Page Submission
4575,No,Yes,No,18,301,1.5,Finance Management,Landing Page Submission
4576,No,No,No,2,1446,2,Marketing Management,Landing Page Submission
4577,No,No,No,3,201,3,Human Resource Management,Landing Page Submission
4578,Yes,No,No,5,1019,5,Healthcare Management,Landing Page Submission
4579,Yes,No,No,4,2111,4,Finance Management,Landing Page Submission
4580,No,No,No,3,1039,1,,API
4581,Yes,No,No,0,0,0,,API
4582,Yes,Yes,No,2,1049,2,,API
4583,No,No,No,0,0,0,,API
4584,Yes,No,No,2,1520,2,,API
4585,Yes,No,No,6,954,3,Human Resource Management,Landing Page Submission
4586,Yes,No,No,5,845,2.5,Marketing Management,Landing Page Submission
4587,Yes,No,No,7,1157,2.33,,API
4588,Yes,No,No,0,0,0,,API
4589,No,No,No,0,0,0,,API
4590,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4591,No,No,No,2,222,2,,API
4592,No,No,No,6,1308,3,,API
4593,Yes,No,No,2,1871,1,Business Administration,API
4594,No,No,No,2,295,2,,API
4595,No,No,No,2,201,2,Finance Management,Landing Page Submission
4596,No,No,No,4,1411,4,Hospitality Management,Landing Page Submission
4597,No,No,No,4,146,1,,API
4598,Yes,No,No,2,430,2,IT Projects Management,Landing Page Submission
4599,No,No,No,3,169,3,,API
4600,Yes,No,No,3,39,3,Human Resource Management,Landing Page Submission
4601,No,No,No,4,5,4,IT Projects Management,Landing Page Submission
4602,No,No,No,12,806,3,Travel and Tourism,Landing Page Submission
4603,Yes,No,No,6,1028,6,,API
4604,Yes,No,No,0,0,0,,API
4605,Yes,No,No,3,1010,3,Operations Management,Landing Page Submission
4606,No,Yes,No,,156,,,Lead Add Form
4607,Yes,No,No,2,1106,2,,API
4608,Yes,No,No,10,155,5,Business Administration,Landing Page Submission
4609,Yes,No,No,8,252,2.67,Finance Management,Landing Page Submission
4610,No,No,No,0,0,0,,API
4611,Yes,No,No,2,1683,2,"Banking, Investment And Insurance",Landing Page Submission
4612,No,No,No,0,0,0,,API
4613,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4614,Yes,No,No,4,1144,1.33,Finance Management,Lead Add Form
4615,Yes,No,No,3,872,3,Healthcare Management,Landing Page Submission
4616,No,No,No,2,1160,2,Operations Management,Landing Page Submission
4617,No,No,No,2,817,2,Finance Management,Landing Page Submission
4618,No,No,No,0,0,0,,API
4619,No,No,No,2,877,2,Media and Advertising,Landing Page Submission
4620,Yes,No,No,0,0,0,,API
4621,No,No,No,0,0,0,Marketing Management,API
4622,No,Yes,No,7,542,3.5,Supply Chain Management,Landing Page Submission
4623,No,No,No,3,518,3,Operations Management,API
4624,Yes,Yes,No,2,837,2,Marketing Management,Landing Page Submission
4625,Yes,No,No,0,0,0,Finance Management,API
4626,Yes,No,No,3,1757,1.5,,API
4627,No,Yes,No,3,11,3,,API
4628,Yes,No,No,2,1108,2,Business Administration,Landing Page Submission
4629,Yes,No,No,4,1049,4,Human Resource Management,Landing Page Submission
4630,Yes,No,No,5,763,5,Human Resource Management,Landing Page Submission
4631,No,No,No,3,9,3,Supply Chain Management,Landing Page Submission
4632,No,No,No,5,357,2.5,Business Administration,Landing Page Submission
4633,No,Yes,No,1,196,1,IT Projects Management,Landing Page Submission
4634,Yes,No,No,2,1735,2,"Banking, Investment And Insurance",Landing Page Submission
4635,Yes,No,No,3,1500,3,Marketing Management,Landing Page Submission
4636,Yes,No,No,3,558,3,Supply Chain Management,Landing Page Submission
4637,No,No,No,2,225,2,Marketing Management,Landing Page Submission
4638,No,No,No,2,69,2,Marketing Management,Landing Page Submission
4639,No,No,No,0,0,0,,API
4640,No,No,No,2,91,2,Supply Chain Management,Landing Page Submission
4641,No,No,No,2,156,2,Human Resource Management,Landing Page Submission
4642,No,No,No,2,111,2,,API
4643,Yes,No,No,7,1434,7,Finance Management,Landing Page Submission
4644,Yes,No,No,6,1183,3,Supply Chain Management,Landing Page Submission
4645,No,No,No,5,138,5,Human Resource Management,Landing Page Submission
4646,Yes,No,No,2,1585,2,Human Resource Management,Landing Page Submission
4647,Yes,No,No,2,1486,2,Finance Management,Landing Page Submission
4648,No,Yes,No,3,303,3,Operations Management,Landing Page Submission
4649,Yes,No,No,5,567,2.5,International Business,API
4650,No,No,No,5,260,5,Marketing Management,Landing Page Submission
4651,No,No,No,6,74,3,"Banking, Investment And Insurance",Landing Page Submission
4652,Yes,Yes,No,2,840,2,Hospitality Management,API
4653,Yes,No,No,7,1143,3.5,Business Administration,Landing Page Submission
4654,Yes,Yes,No,0,0,0,,Lead Add Form
4655,No,No,No,0,0,0,,API
4656,Yes,Yes,No,2,342,2,,API
4657,No,No,No,8,598,4,,Landing Page Submission
4658,No,No,No,0,0,0,,Lead Add Form
4659,No,No,No,2,1517,2,Human Resource Management,Landing Page Submission
4660,No,No,No,12,494,3,Finance Management,Landing Page Submission
4661,Yes,Yes,No,0,0,0,,Lead Add Form
4662,No,No,No,0,0,0,,API
4663,Yes,No,No,1,846,1,,Lead Add Form
4664,Yes,No,No,3,1199,1,,API
4665,No,No,No,0,0,0,,API
4666,Yes,No,No,3,206,3,Marketing Management,Landing Page Submission
4667,No,No,No,3,204,1.5,,API
4668,Yes,No,No,0,0,0,,API
4669,No,No,No,3,427,3,,API
4670,No,No,No,2,238,1,,API
4671,No,No,No,2,1237,1,Human Resource Management,API
4672,Yes,No,No,3,170,3,Supply Chain Management,Landing Page Submission
4673,Yes,No,No,3,205,3,IT Projects Management,Landing Page Submission
4674,No,No,No,0,0,0,,API
4675,Yes,No,No,7,894,3.5,International Business,Landing Page Submission
4676,Yes,No,No,0,0,0,,Lead Add Form
4677,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4678,Yes,No,No,2,1585,2,Operations Management,Landing Page Submission
4679,No,No,No,3,127,3,Human Resource Management,Landing Page Submission
4680,Yes,No,No,2,252,2,,API
4681,Yes,No,No,0,0,0,,Lead Add Form
4682,Yes,No,No,4,905,4,IT Projects Management,Landing Page Submission
4683,Yes,No,No,8,88,8,,API
4684,Yes,No,No,3,112,3,Finance Management,Landing Page Submission
4685,No,No,No,5,220,5,Finance Management,Landing Page Submission
4686,No,No,No,6,310,3,,API
4687,Yes,No,No,19,312,2.38,Finance Management,Landing Page Submission
4688,No,No,No,5,1035,2.5,Supply Chain Management,Landing Page Submission
4689,Yes,No,No,8,914,2.67,Travel and Tourism,Landing Page Submission
4690,No,No,No,9,278,9,Marketing Management,Landing Page Submission
4691,Yes,No,No,0,0,0,,API
4692,No,No,No,0,0,0,,API
4693,No,No,No,3,399,3,,API
4694,Yes,No,No,0,0,0,,Lead Add Form
4695,No,No,No,0,0,0,,API
4696,No,No,No,8,159,2.67,Media and Advertising,Landing Page Submission
4697,No,No,No,3,457,3,Media and Advertising,Landing Page Submission
4698,No,No,No,2,82,2,Hospitality Management,Landing Page Submission
4699,No,No,No,12,48,3,Business Administration,Landing Page Submission
4700,No,No,No,0,0,0,,API
4701,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4702,No,No,No,0,0,0,,API
4703,No,No,No,3,990,3,Healthcare Management,Landing Page Submission
4704,Yes,No,No,9,87,4.5,Finance Management,Landing Page Submission
4705,No,No,No,0,0,0,,API
4706,No,No,No,7,1402,7,Retail Management,Landing Page Submission
4707,No,No,No,3,165,3,Finance Management,Landing Page Submission
4708,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4709,Yes,No,No,4,1237,2,Operations Management,Landing Page Submission
4710,No,No,No,1,45,1,Human Resource Management,Landing Page Submission
4711,No,No,No,0,0,0,,API
4712,No,No,No,5,345,2.5,Marketing Management,Landing Page Submission
4713,No,No,No,4,16,4,,API
4714,No,No,No,6,246,3,Human Resource Management,Landing Page Submission
4715,No,No,No,0,0,0,,API
4716,No,No,No,0,0,0,,API
4717,No,Yes,No,3,225,3,Finance Management,Landing Page Submission
4718,Yes,No,No,3,1590,3,IT Projects Management,Landing Page Submission
4719,No,No,No,4,154,4,Finance Management,Landing Page Submission
4720,Yes,No,No,5,1436,2.5,Human Resource Management,Landing Page Submission
4721,No,No,No,2,312,2,Marketing Management,Landing Page Submission
4722,No,No,No,5,106,5,Business Administration,Landing Page Submission
4723,No,Yes,No,8,170,4,Human Resource Management,Landing Page Submission
4724,Yes,No,No,0,0,0,,Lead Add Form
4725,Yes,No,No,4,709,4,Hospitality Management,Landing Page Submission
4726,No,No,No,3,260,1.5,Marketing Management,API
4727,No,No,No,4,1708,4,Business Administration,Landing Page Submission
4728,No,No,No,3,12,3,Finance Management,Landing Page Submission
4729,No,No,No,4,609,2,,API
4730,No,No,No,4,148,4,Marketing Management,Landing Page Submission
4731,No,Yes,No,2,271,2,Operations Management,Landing Page Submission
4732,Yes,No,No,3,89,3,Operations Management,Landing Page Submission
4733,Yes,No,No,0,0,0,Finance Management,Lead Add Form
4734,Yes,No,No,0,0,0,,API
4735,Yes,No,No,2,1680,2,Human Resource Management,Landing Page Submission
4736,Yes,No,No,0,0,0,,API
4737,No,Yes,No,6,347,6,Human Resource Management,Landing Page Submission
4738,Yes,No,No,8,1620,4,"Banking, Investment And Insurance",Landing Page Submission
4739,Yes,No,No,7,845,7,Marketing Management,Landing Page Submission
4740,Yes,No,No,2,267,2,E-COMMERCE,Landing Page Submission
4741,Yes,No,No,4,1054,1.33,,API
4742,No,No,No,1,206,1,Finance Management,Landing Page Submission
4743,Yes,No,No,3,1101,3,Business Administration,Landing Page Submission
4744,Yes,No,No,2,1507,2,Supply Chain Management,Landing Page Submission
4745,No,No,No,0,0,0,,API
4746,No,No,No,4,84,4,International Business,Landing Page Submission
4747,No,No,No,4,21,4,E-COMMERCE,Landing Page Submission
4748,No,Yes,No,3,154,3,Travel and Tourism,Landing Page Submission
4749,Yes,No,No,8,387,8,Business Administration,Landing Page Submission
4750,No,No,No,0,0,0,,API
4751,Yes,No,No,2,1380,2,Marketing Management,Landing Page Submission
4752,No,No,No,8,96,8,"Banking, Investment And Insurance",Landing Page Submission
4753,No,No,No,5,286,5,Human Resource Management,Landing Page Submission
4754,Yes,No,No,5,1880,5,Business Administration,Landing Page Submission
4755,No,Yes,No,0,0,0,,API
4756,No,Yes,No,8,77,8,E-COMMERCE,Landing Page Submission
4757,No,No,No,2,416,2,Human Resource Management,Landing Page Submission
4758,Yes,No,No,10,568,5,Marketing Management,Landing Page Submission
4759,Yes,No,No,4,1082,4,,API
4760,No,No,No,0,0,0,,API
4761,No,Yes,No,4,426,4,Finance Management,Landing Page Submission
4762,Yes,No,No,4,30,2,"Banking, Investment And Insurance",Landing Page Submission
4763,No,No,No,7,32,7,Hospitality Management,Landing Page Submission
4764,No,Yes,No,1,431,1,Finance Management,Landing Page Submission
4765,No,No,No,4,1276,4,Hospitality Management,Landing Page Submission
4766,Yes,No,No,4,980,2,Marketing Management,Landing Page Submission
4767,Yes,No,No,4,1886,2,Operations Management,Landing Page Submission
4768,No,No,No,0,0,0,,API
4769,No,No,No,0,0,0,,API
4770,Yes,No,No,9,185,3,Operations Management,Landing Page Submission
4771,No,No,No,2,1220,2,,API
4772,Yes,No,No,0,0,0,Operations Management,Lead Add Form
4773,Yes,No,No,0,0,0,Finance Management,Lead Add Form
4774,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
4775,Yes,No,No,0,0,0,,API
4776,Yes,No,No,0,0,0,Operations Management,Lead Add Form
4777,Yes,No,No,0,0,0,IT Projects Management,Lead Add Form
4778,Yes,No,No,0,0,0,Operations Management,Lead Add Form
4779,No,No,No,0,0,0,Human Resource Management,Lead Add Form
4780,Yes,No,No,0,0,0,Finance Management,Lead Add Form
4781,Yes,No,No,0,0,0,,API
4782,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
4783,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4784,No,No,No,0,0,0,Finance Management,API
4785,Yes,No,No,0,0,0,Business Administration,Lead Add Form
4786,No,No,No,2,1217,1,,API
4787,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
4788,No,No,No,5,236,2.5,Finance Management,Landing Page Submission
4789,Yes,No,No,0,0,0,Finance Management,Lead Add Form
4790,Yes,No,No,2,1486,2,IT Projects Management,Landing Page Submission
4791,No,No,No,4,12,2,Services Excellence,Landing Page Submission
4792,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
4793,No,Yes,No,0,0,0,,API
4794,Yes,No,No,4,1189,4,Business Administration,Landing Page Submission
4795,Yes,No,No,2,1177,1,,API
4796,Yes,No,No,4,918,2,Rural and Agribusiness,API
4797,No,No,No,3,18,1.5,,API
4798,Yes,No,No,3,1105,3,Healthcare Management,Landing Page Submission
4799,No,No,No,1,260,1,Marketing Management,Landing Page Submission
4800,Yes,No,No,8,1651,8,,API
4801,No,Yes,No,0,0,0,,API
4802,Yes,No,No,4,773,4,Finance Management,Landing Page Submission
4803,Yes,No,No,2,1198,1,,API
4804,Yes,No,No,2,1598,2,Finance Management,Landing Page Submission
4805,Yes,No,No,0,0,0,,Lead Add Form
4806,No,No,No,2,177,2,Business Administration,Landing Page Submission
4807,No,No,No,5,212,5,Operations Management,Landing Page Submission
4808,Yes,No,No,2,1378,2,,API
4809,No,No,No,6,425,6,Healthcare Management,Landing Page Submission
4810,Yes,No,No,4,976,4,,API
4811,Yes,No,No,0,0,0,,API
4812,No,No,No,2,746,2,,API
4813,Yes,No,No,0,0,0,,Lead Add Form
4814,No,No,No,3,1114,3,,API
4815,No,No,No,6,324,3,"Banking, Investment And Insurance",Landing Page Submission
4816,Yes,No,No,5,519,5,IT Projects Management,Landing Page Submission
4817,Yes,No,No,3,1341,3,Human Resource Management,API
4818,No,No,No,5,1136,2.5,Business Administration,Landing Page Submission
4819,No,No,No,3,5,3,"Banking, Investment And Insurance",Landing Page Submission
4820,Yes,No,No,7,242,3.5,Marketing Management,Landing Page Submission
4821,No,No,No,3,1353,3,Supply Chain Management,Landing Page Submission
4822,No,No,No,2,682,2,Finance Management,Landing Page Submission
4823,Yes,No,No,5,1826,2.5,Marketing Management,Landing Page Submission
4824,No,Yes,No,2,125,2,Human Resource Management,Landing Page Submission
4825,No,No,No,4,956,1.33,,API
4826,Yes,No,No,3,815,1.5,,API
4827,Yes,No,No,5,1411,5,Finance Management,Landing Page Submission
4828,Yes,No,No,7,1010,2.33,Services Excellence,Landing Page Submission
4829,No,No,No,3,1174,3,Supply Chain Management,Landing Page Submission
4830,No,No,No,3,100,1.5,,API
4831,Yes,No,No,0,0,0,,Lead Add Form
4832,Yes,No,No,0,0,0,,Lead Add Form
4833,Yes,No,No,3,1678,3,"Banking, Investment And Insurance",Lead Add Form
4834,Yes,No,No,7,1164,7,Travel and Tourism,Landing Page Submission
4835,Yes,No,No,2,139,2,,API
4836,No,No,No,0,0,0,,API
4837,No,Yes,No,1,296,1,"Banking, Investment And Insurance",Landing Page Submission
4838,Yes,No,No,3,1510,3,Travel and Tourism,API
4839,Yes,No,No,0,0,0,Finance Management,Lead Add Form
4840,Yes,No,No,8,1255,8,"Banking, Investment And Insurance",Landing Page Submission
4841,No,No,No,4,153,4,,API
4842,No,No,No,4,231,4,Operations Management,Landing Page Submission
4843,No,No,No,0,0,0,,API
4844,Yes,No,No,0,0,0,,Lead Add Form
4845,Yes,No,No,4,1502,2,Business Administration,Landing Page Submission
4846,No,No,No,0,0,0,,API
4847,No,No,No,4,308,4,Human Resource Management,Landing Page Submission
4848,Yes,No,No,7,1237,7,,API
4849,No,No,No,4,347,4,Rural and Agribusiness,Landing Page Submission
4850,Yes,No,No,0,0,0,,API
4851,Yes,No,No,4,391,4,E-COMMERCE,Landing Page Submission
4852,Yes,No,No,2,1310,1,,API
4853,Yes,No,No,2,253,2,,API
4854,No,No,No,6,115,6,Business Administration,Landing Page Submission
4855,No,No,No,5,421,2.5,Media and Advertising,Landing Page Submission
4856,Yes,No,No,0,0,0,,API
4857,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
4858,Yes,No,No,0,0,0,,API
4859,Yes,No,No,4,1388,4,Operations Management,Landing Page Submission
4860,No,No,No,0,0,0,,API
4861,Yes,No,No,7,1398,3.5,Media and Advertising,Landing Page Submission
4862,Yes,No,No,5,235,5,Operations Management,Landing Page Submission
4863,Yes,No,No,2,1007,2,Human Resource Management,Landing Page Submission
4864,Yes,No,No,6,1399,6,Finance Management,Landing Page Submission
4865,No,No,No,0,0,0,,API
4866,Yes,No,No,3,1383,3,Services Excellence,Landing Page Submission
4867,No,No,No,3,325,3,Human Resource Management,Landing Page Submission
4868,Yes,No,No,4,1005,1.33,Business Administration,Landing Page Submission
4869,Yes,No,No,5,803,2.5,Finance Management,Landing Page Submission
4870,Yes,No,No,2,1321,2,Human Resource Management,Landing Page Submission
4871,No,No,No,0,0,0,,API
4872,No,No,No,5,1533,2.5,,API
4873,Yes,No,No,2,41,2,Business Administration,Landing Page Submission
4874,Yes,No,No,4,128,4,Supply Chain Management,Landing Page Submission
4875,No,Yes,No,3,231,3,E-Business,Landing Page Submission
4876,Yes,No,No,4,1115,4,Marketing Management,Landing Page Submission
4877,No,No,No,5,91,2.5,,Landing Page Submission
4878,Yes,No,No,4,1148,4,Business Administration,Landing Page Submission
4879,Yes,No,No,2,916,2,Marketing Management,API
4880,Yes,No,No,0,0,0,,Lead Add Form
4881,Yes,No,No,5,1436,5,Media and Advertising,Landing Page Submission
4882,Yes,No,No,4,913,4,E-Business,Landing Page Submission
4883,Yes,No,No,0,0,0,,API
4884,No,Yes,No,2,56,2,,API
4885,No,No,No,5,497,5,Marketing Management,Landing Page Submission
4886,Yes,No,No,4,1192,4,Finance Management,Landing Page Submission
4887,No,Yes,No,0,0,0,,API
4888,No,No,No,3,458,3,Travel and Tourism,Landing Page Submission
4889,No,No,No,13,58,2.6,,API
4890,No,Yes,No,7,212,1.75,,API
4891,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
4892,Yes,No,No,0,0,0,,API
4893,Yes,No,No,3,1076,1,Finance Management,Lead Add Form
4894,No,No,No,4,395,2,IT Projects Management,Landing Page Submission
4895,No,No,No,4,770,4,Marketing Management,Landing Page Submission
4896,No,No,No,11,78,5.5,Marketing Management,Landing Page Submission
4897,Yes,No,No,2,1236,2,"Banking, Investment And Insurance",Landing Page Submission
4898,No,No,No,8,1677,2,Human Resource Management,Landing Page Submission
4899,Yes,No,No,0,0,0,,API
4900,Yes,No,No,6,246,6,Healthcare Management,Landing Page Submission
4901,Yes,No,No,,1672,,,Lead Add Form
4902,Yes,No,No,2,693,1,,API
4903,Yes,No,No,,1464,,,Lead Add Form
4904,No,No,No,12,150,3,Marketing Management,Landing Page Submission
4905,No,No,No,2,1273,2,,API
4906,Yes,No,No,0,0,0,,API
4907,No,No,No,2,102,2,,API
4908,No,No,No,3,256,3,Human Resource Management,Landing Page Submission
4909,No,No,No,0,0,0,,API
4910,Yes,No,No,0,0,0,Marketing Management,API
4911,No,No,No,0,0,0,,API
4912,No,No,No,4,452,1.33,,API
4913,No,No,No,3,350,3,Supply Chain Management,Landing Page Submission
4914,Yes,No,No,0,0,0,Marketing Management,API
4915,No,No,No,9,165,4.5,Human Resource Management,Landing Page Submission
4916,No,No,No,2,47,2,Operations Management,Landing Page Submission
4917,No,No,No,0,0,0,,API
4918,No,No,No,0,0,0,,API
4919,No,No,No,3,53,1.5,,API
4920,Yes,No,No,0,0,0,,API
4921,Yes,No,No,0,0,0,,API
4922,No,No,No,2,170,2,,API
4923,Yes,No,No,3,1742,3,Finance Management,Landing Page Submission
4924,Yes,Yes,No,3,1040,3,,API
4925,Yes,No,No,2,30,2,,API
4926,Yes,No,No,4,827,4,Finance Management,Landing Page Submission
4927,Yes,Yes,No,6,1668,6,Marketing Management,Landing Page Submission
4928,Yes,No,No,2,1795,2,"Banking, Investment And Insurance",Landing Page Submission
4929,Yes,No,No,0,0,0,,API
4930,Yes,No,No,12,1117,2.4,Supply Chain Management,Landing Page Submission
4931,Yes,No,No,2,1542,2,Marketing Management,Landing Page Submission
4932,No,No,No,6,262,6,,Landing Page Submission
4933,No,Yes,No,2,1016,2,"Banking, Investment And Insurance",Landing Page Submission
4934,No,No,No,0,0,0,Media and Advertising,API
4935,Yes,No,No,3,130,3,Finance Management,API
4936,Yes,No,No,6,1094,2,Marketing Management,API
4937,No,No,No,2,336,2,Marketing Management,Landing Page Submission
4938,No,No,No,3,234,3,Human Resource Management,Landing Page Submission
4939,No,No,No,2,31,2,Human Resource Management,Landing Page Submission
4940,No,No,No,0,0,0,Marketing Management,API
4941,Yes,No,No,4,926,4,Marketing Management,API
4942,Yes,No,No,2,970,1,Operations Management,API
4943,Yes,No,No,3,1360,3,Marketing Management,Landing Page Submission
4944,Yes,No,No,5,725,2.5,Business Administration,Landing Page Submission
4945,Yes,No,No,2,979,2,Human Resource Management,API
4946,No,No,No,5,327,2.5,Business Administration,Landing Page Submission
4947,No,No,No,3,93,3,,API
4948,Yes,No,No,4,804,1.33,Business Administration,API
4949,Yes,No,No,3,789,1,,API
4950,Yes,No,No,6,1295,3,Marketing Management,Landing Page Submission
4951,No,Yes,No,0,0,0,Human Resource Management,API
4952,No,No,No,3,937,1.5,Marketing Management,API
4953,Yes,No,No,9,234,4.5,,API
4954,No,No,No,5,201,5,Travel and Tourism,Landing Page Submission
4955,No,No,No,12,9,1.71,Marketing Management,Landing Page Submission
4956,Yes,No,No,9,1416,1.8,Human Resource Management,API
4957,No,No,No,3,334,1.5,Finance Management,API
4958,Yes,No,No,0,0,0,Supply Chain Management,API
4959,No,No,No,5,463,5,Finance Management,Landing Page Submission
4960,No,No,No,1,397,1,Human Resource Management,API
4961,Yes,No,No,6,548,2,E-COMMERCE,Landing Page Submission
4962,No,No,No,2,663,2,Human Resource Management,Landing Page Submission
4963,No,No,No,2,202,2,,API
4964,Yes,No,No,3,1358,3,"Banking, Investment And Insurance",Landing Page Submission
